,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
634201,2972217_19334,05:18:55,05:18:55,44,7 William Cannon SB,0,7,1,1,30.22216,-97.742228,3300 Parker/Timber Ridge,False
495537,2966636_11309,05:18:56,05:18:56,2,383 North Lamar Transit Center SB,1,383,1,1,30.480141,-97.797375,Lakeline/North Lake Creek,False
405396,2965075_8857,05:18:58,05:18:58,13,325 Norwood Transit Center SB,0,325,1,1,30.39488,-97.706822,11510 Metric/Stonehollow,False
14165,2959677_0191,05:19:00,05:19:00,30,1 Tech Ridge Park & Ride NB,1,1,1,1,30.278834,-97.741358,1609 Lavaca/17th (Midblock),False
81483,2960566_1367,05:19:00,05:19:00,23,18 Exposition WB,1,18,1,1,30.278966,-97.746339,Rio Grande/15th,False
368269,2964269_7570,05:19:00,05:19:00,22,318 Thaxton EB,0,318,1,1,30.191273,-97.833432,8800 West Gate/Davis,False
372949,2964305_7672,05:19:00,05:19:00,10,318 Westgate Transit Center WB,1,318,1,1,30.172829,-97.799722,603 Slaughter/1st,False
400036,2965141_8723,05:19:00,05:19:00,13,325 Tech Ridge Park & Ride NB,1,325,1,1,30.363939,-97.698486,832 Rundberg/Lamar,False
411696,2965412_9025,05:19:00,05:19:00,19,333 Thaxton EB,1,333,1,1,30.213229,-97.829481,3421 William Cannon/Brodie,False
192875,2962625_4813,05:19:02,05:19:02,23,3 Arboretum NB,1,3,1,1,30.219059,-97.794998,5309 Menchaca/Fair Oaks,False
489462,2966590_11169,05:19:03,05:19:03,15,383 Lakeline Station NB,0,383,1,1,30.393703,-97.743884,10050 Great Hills/Research,False
72318,2960249_0996,05:19:04,05:19:04,5,135 Tech Ridge Park & Ride NB,0,135,1,1,30.282339,-97.703722,1835 Airport/Martin Luther King,False
58712,2959807_0785,05:19:05,05:19:05,47,10 Southpark Meadows SB,0,10,1,1,30.232131,-97.766035,3310 S 1st/Cardinal,False
358541,2963675_7206,05:19:05,05:19:05,22,311 Westgate Transit Center WB,0,311,1,1,30.207126,-97.77859,Stassney/Hummingbird,False
349955,2963448_6941,05:19:06,05:19:06,20,310 S. Congress Transit Center WB,1,310,1,1,30.217147,-97.744042,Woodward/Ben White NW Corner,False
377845,2964508_7809,05:19:06,05:19:06,21,322 Hancock Center NB,1,322,1,1,30.285131,-97.717815,Cherrywood/Manor,False
506253,2975924_11670,05:19:06,05:19:06,16,4 Shady EB,1,4,1,1,30.261532,-97.718195,7th/Robert T Martinez Jr,False
45087,2959874_0596,05:19:08,05:19:08,30,10 Norwood Transit Center NB,1,10,1,1,30.247241,-97.755836,1801 S 1st/Annie,False
474700,2966388_10793,05:19:12,05:19:12,18,350 North Lamar Transit Center NB,0,350,1,1,30.277589,-97.700657,1215 Airport/12th,False
392043,2964673_8422,05:19:14,05:19:14,12,323 Northcross WB,0,323,1,1,30.354986,-97.73617,7719 Northcross/Foster,False
621040,2972286_19124,05:19:14,05:19:14,46,7 Airport/Highland NB,1,7,1,1,30.292127,-97.733917,Duval/Bellevue,False
478639,2966423_10894,05:19:16,05:19:16,18,350 ACC Riverside SB,1,350,1,1,30.285561,-97.706075,2204 Airport/Manor,False
262309,2962835_5592,05:19:19,05:19:19,27,30 Westgate Transit Center SB,1,30,1,1,30.32806,-97.75024,2825 Hancock/Fresco,False
541915,2968288_13272,05:19:19,05:19:19,22,5 Tannehill EB,0,5,1,1,30.311348,-97.73919,4316 Lamar/43rd,False
428287,2965618_9550,05:19:22,05:19:22,13,335 Exposition WB,0,335,1,1,30.303402,-97.739012,38th/Guadalupe,False
721292,2973948_22239,05:19:25,05:19:25,12,837 Downtown SB,0,837,1,1,30.296149,-97.700385,Simond SB (Berkman/Simond),True
646546,2972724_19519,05:19:28,05:19:28,6,800 Mueller NB,0,800,1,1,30.204087,-97.741937,Franklin Park NB (Pleasant Valley/St Elmo),True
717767,2974004_22086,05:19:29,05:19:29,6,837 Decker NB,1,837,1,1,30.28555,-97.733531,UT Stadium NB (San Jacinto/23rd),True
417609,2965347_9161,05:19:31,05:19:31,19,333 Oak Hill WB,0,333,1,1,30.196488,-97.786118,William Cannon/Bill Hughes,False
601037,2972288_18799,05:19:35,05:19:35,11,7 Crestview Station NB,1,7,1,1,30.197276,-97.744457,4509 Teri/Pleasant Valley,False
400037,2965141_8723,05:19:37,05:19:37,14,325 Tech Ridge Park & Ride NB,1,325,1,1,30.364972,-97.700675,Rundberg/Mearns Meadow,False
621041,2972286_19124,05:19:39,05:19:39,47,7 Airport/Highland NB,1,7,1,1,30.293384,-97.733108,Duval/32nd,False
262310,2962835_5592,05:19:43,05:19:43,28,30 Westgate Transit Center SB,1,30,1,1,30.327267,-97.749435,Bull Creek/Hancock,False
548104,2968325_13375,05:19:43,05:19:43,31,5 Northcross WB,1,5,1,1,30.283337,-97.751717,1801 Lamar/Martin Luther King,False
405397,2965075_8857,05:19:55,05:19:55,14,325 Norwood Transit Center SB,0,325,1,1,30.391795,-97.708785,11212 Metric/Braker,False
478640,2966423_10894,05:19:56,05:19:56,19,350 ACC Riverside SB,1,350,1,1,30.282694,-97.704222,1900 Airport/Martin Luther King,False
368270,2964269_7570,05:19:58,05:19:58,23,318 Thaxton EB,0,318,1,1,30.187372,-97.836128,West Gate/Cohoba,False
72319,2960249_0996,05:20:00,05:20:00,6,135 Tech Ridge Park & Ride NB,0,135,1,1,30.28546,-97.705723,2201 Airport/Manor,False
